district,county ,Street Address,city,ZIP,Locale,Student Teacher Ratio,schooltype,Graduation Rate,Proficiency Reading,Advanced Proficiency Reading,Proficiency Math,Advanced Proficiency Math,Proficiency Science,Adanced Proficiency Science,Proficiency Social Studies,Adanced Proficiency Social Studies
ACADEMIE LAFAYETTE,Jackson County,6903 OAK STREET,KANSAS CITY,64113,City: Large,14.1,Other Education Agency,0,45.6,40.3,30.7,36.9,39.4,36.5,0,0
ACADEMY FOR INTEGRATED ARTS,Jackson County,7910 Troost,KANSAS CITY,64131,City: Large,15,Other Education Agency,0,25.9,2.4,10.6,1.2,0,0,0,0
ALLEN VILLAGE,Jackson County,706 W 42ND ST,KANSAS CITY,64111,City: Large,15.2,Other Education Agency,0,48.4,11.7,23,9.4,32.2,9.9,52.3,9.1
ALTA VISTA CHARTER SCH.,Jackson County,1015 AVENIDA CESAR E. CHAVEZ,KANSAS CITY,64108,City: Large,11.7,Other Education Agency,0,22.3,2.8,12.1,4.5,32.9,2.9,45.1,11
B. BANNEKER ACADEMY,Jackson County,6401 ROCKHILL ROAD,KANSAS CITY,64131,City: Large,15.9,Other Education Agency,0,23,2.6,9.8,1.6,0,0,0,0
BLUE SPRINGS R-IV,Jackson County,1801 NW VESPER,BLUE SPRINGS,64015,Suburb: Large,15.9,Regular School District,94.06,43.5,34,32,37.2,39.8,32.1,46.8,24.9
BROOKSIDE CHARTER SCH.,Jackson County,1815 EAST 63 STREET,KANSAS CITY,64130,City: Large,12.1,Other Education Agency,0,33,5.4,24,5.3,19.6,1,0,0
CENTER 58,Jackson County,8701 HOLMES RD,KANSAS CITY,64131,City: Large,12.3,Regular School District,91.38,38,13.2,25.6,15.7,28.7,8.6,36.8,7.7
CITIZENS OF THE WORLD CHARTER,Jackson County,4324 MCGEE STREET,KANSAS CITY,64111,City: Large,0,Other Education Agency,0,0,0,0,0,0,0,0,0
CROSSROADS ACAD OF KANSAS CITY,Jackson County,1015 CENTRAL,KANSAS CITY,64105,City: Large,13.1,Other Education Agency,0,37.1,26.5,22.9,19.1,34.3,16.4,0,0
EWING MARION KAUFFMAN SCHOOL,Jackson County,6401 THE PASEO BLVD,KANSAS CITY,64131,City: Large,10.8,Other Education Agency,0,46.2,16.8,31.8,28.8,40.4,24.9,0,0
EXCELSIOR SPRINGS 40,Clay County,300 W BROADWAY,EXCELSIOR SPRINGS,64024,Town: Fringe,13.4,Regular School District,93.3,40.6,15,28.9,13,38,10.1,0,0
FORT OSAGE R-I,Jackson County,2101 N TWYMAN RD,INDEPENDENCE,64058,Rural: Fringe,15,Regular School District,95.39,42.4,17.3,26.9,15.6,35.7,18.1,0,0
